movieId,title,bagofwords
3395,Nadine (1987), jeffbridges kimbasinger riptorn gwenverdon glenneheadly jerrystiller jaypatterson williamyoumans garygrubbs mickeyjones bluedeckert harlanjordan normanbennett jamesn.harrell johnwilliamgalt joeberryman linwoodwalker raywalker shelbybrammer loydcatlett sidneybrammer davidchristopher priscillacory robertbenton comedy
7812,Babylon 5: Thirdspace (1998), bruceboxleitner claudiachristian mirafurlan richardbiggs jeffconaway stephenfurst patriciatallman clydekusatsu sharibelafonte williamsanderson kipking floydlevine jeffreyanderson-gunter joshcoxx judsonmills adamgifford jerrykernion valeriered-horse stephenj.austin carlciarfalio andrewfrankel markginther donswayze jesússalvadortreviño drama sci-fi
49647,Charlotte's Web (2006), juliaroberts stevebuscemi johncleese oprahwinfrey cedrictheentertainer kathybates rebamcentire robertredford thomashadenchurch andré3000 dominicscottkay samshepard abrahambenrubi dakotafanning kevinanderson essiedavis louiscorbett juliano'donnell robynarthur siobhanfallonhogan garybasaraba natemooney nicholasbell beaubridges teaguerook juliazemiro denisekirby robertplazek josephlotesto michaelroland donbridges ianwatkin joelmccrary brianstepanek fredtatasciore bradleywhite maiakirkpatrick jennessarose brianahodge daleazzopardi jamesbriggs bernadettehogan petermunsonhogan tonyjarvis ellascottlynch gregmarian stefanomazzeo cameronpinches elizabethsaunders danielletalbot aphrawilliams garywinick children comedy drama fantasy
4449,Adanggaman (2000), rasmanéouédraogo albertinen'guessan ziablehonorégoorebi bintoubakayoko nicolesuzismenyeng mireilleandréeboti patrickdijiantie lounadègeblagone anastasietodebohi didiergrandidier mylène-persidebotikouame étiennegohetibigore ziesoro sielouchantal sokpogermaine bicécile rogergnoanm'bala drama
4688,Black Robe (1991), lothairebluteau adenyoung sandrineholt augustschellenberg tantoocardinal billytworivers lawrencebayne harrisonliu wesleycôté frankwilson françoistassé jeanbrousseau yvanlabelle raoulmaxtrujillo jamesbobbish denislacroix gillesplante gordontootoosis martheturgeon claudepréfontaine deanoclavet paulstewart jean-raymondchâles jean-jacquesblanchet marcobacon patricktenasco georgepachanos minormustain donbrisebois jeanraphael guyprovencher joedelaronde linlynlue bonfieldmarcoux wandaobomsawin jean-pierrepérusse gérardsoler alisonreid brendaadams denisplante danielthonon cordeliaberesford anniebearskin doreenstevens josephcampeau ericjohnston miryaobomsawin zoeleighhopkins rodrigueboivin irvinhill valeriedecontie waylonhare rogerwylde walterjacobs helenbobishatkinson johntenasco jonathanblacksmith earldanyluk arnoldeyah-saulteux bruceberesford adventure drama
6803,Phenomena (a.k.a. Creepers) (1985), jenniferconnelly darianicolodi fioreargento federicamastroianni fiorenzatessari daliladilazzaro patrickbauchau donaldpleasence albertocracco kasparcapparoni mariodonatone antoniomaimone davidemarotta fulviomingozzi francescaottaviani michelesoavi francotrevisi faustaavelli francaberdini martabiuso marisasimonetti geraldinethomas tanga darioargento sophiebourchier paolagropper ninkehielkema mitzyorsini darioargento horror mystery thriller
145839,Concussion (2015), willsmith alecbaldwin albertbrooks gugumbatha-raw davidmorse arlisshoward mikeo'malley eddiemarsan hillharper adewaleakinnuoye-agbaje stephenmoyer richardt.jones paulreiser lukewilson saralindsey matthewwillig elizabethtulloch kevinjiggetts garygrubbs randykovitz l.scottcaldwell danziskie larryjohnmeyers jonibovill jasondavis dananders jebkeller joshuaelijahreese holtmccallany jackieschafer mikeclark scottconner jaredpfennigwerth phillipchorba davidflick kelleydavis alisonmoir dinorende samaralee nathanhollabaugh cindyjackson scottamiller michaelschaich hennesseyjoseph antonialong lisaearley annb.betters dihlonmcmanne britannijohnson dawnvocke richieacevedo nateiceaisha brittneyaleah leonardanthony nicholasaugusta jennifernicolebaker jasonjohnbeebe gregberg jenniferbialo jenniferboch-wawrzyniak troybogdan neilbooker christopherboyer lancebrock jonathanbrownell ralphbrowning normancardaro hanibalchancellor deborahcharity tylercheman christinachickis jenniferpearlchilders caraclark lloydcrago sharineumanndodge amylynelliott markfalvo joefishel jimfitzgerald robinflak joegallipoli carmengangale trevorleegeorgeson davidgragg robertgraziosi richardguesman stephaniehaff frankhaines tonyhobson laurenhopkins jameshoward sherryhudak emeikwuakor luisamedirizarry kristyisenberg johnw.iwanonkiw dominicjackson kevinm.jacobs dontezjames chrisjameson nagyjay williamkania mikekarban wendellkinney mikekuse bradr.lambert ashleymarielewis jameslloyd scottlockhart jordanlonigro georgelourimore theresamangus lauriemann kirstenmccain daviddalemccue benmcdonnell robertg.mckay tiffanysandermckenzie f.robertmcmurray terrimiddleton michaelmlynar petermuggleworth christophernardizzi philnardozzi jeffreyneil donnowacki jacksonnunn rajeevpahuja frankiepalombi rockypaterra edwardpfeifer dwaynepintoff laurapolinski lawrencepusateri asuncionramos ericrasmussen electarawls brentreichert richardrestivo dougroberts kimberlyryans debbiescaletta davidshurin remingtonsinclair kevinslone tamikasmith briane.stead barrystephens brianstowell da'shawnthomas kellytrumbull meganleighvalentino raymondwadejr. mikewalker genevieveweiss laurawelsh jameswerley kymwhitehead frankwilson ericwitkowski loganj.woolfolk eddiezorak peterlandesman drama
166635,Passengers (2016), jenniferlawrence chrispratt michaelsheen laurencefishburne andygarcia vincefoster karaflowers conorbrophy juleecerda auroraperrineau laurenfarmer emeraldmayne kristinbrock tomferrari quansaerutledge desmondreid emmaclarke chrisedgerly fredmelamed mattcorboy zeusmendoza alphatakahashi matthewwolf jean-michelrichaud jonspaihts curtisgrecco joyspears stephallen kimberlybattista nazaninboniadi marieburke lindseyelizabeth anagray kennethjones inderkumar stephenm.labarjr. ashleylambert robertlarriviere andrews.mcmillan shelbytaylormullins jeffolsen kellipardo kaylaradomski jamiesoricelli ivanavitomir mortentyldum adventure drama romance sci-fi
1656,Swept from the Sea (1997), rachelweisz vincentperez ianmckellen kathybates jossackland tonyhaygarth fionavictory tombell zoëwanamaker williamscott-masson evematheson davehill rogerashton-griffiths matthewscurfield margerywithers janineduvitski willieross janethenfrey paulwhitby bobsmith angelamorant gerardosilano neilrutherford sandrahuggett frédériquefeder ellisfernandez esperanzacarmona natashacullingford christophermaskens emmapayne steverouse michaeltoon peterfrancis-wemyss beebankidron drama romance
3871,Shane (1953), alanladd jeanarthur vanheflin brandondewilde jackpalance benjohnson edgarbuchanan emilemeyer elishacookjr. douglasspencer johndierkes ellencorby paulmcvey johnmiller edithevanson leonardstrong rayspiker janicecarroll martinmason helenbrown nancykulp ewingmilesbrown billcartledge williamdyerjr. chickhannan alanaladd davidladd georgej.lewis rexmoore howardnegley charlesquirk steveraines williamsimonds kathystainbrook jacksterling georgestevens joannthompson beverlywashburn henrywills davidwyatt georgestevens drama western
129657,Tracers (2015), taylorlautner marieavgeropoulos adamrayner rafigavron lucianoacunajr. joshyadon johnnym.wu sammedina amirahvann christiansteel waichingho chrisjackson seanrahill andrewelvismiller douamoua scottjohnson teddycañez henryyuk johncenatiempo brianmichaelsmith josephharrell dougdrucker angelapietropinto glenlee carlaocchiogrosso dennislauricella richardnunez kennywong alvinchon myleshumphus kachinadechert samanthamacivor douglascrosby danmiragliotta erikmartin scottsiegal mariuszkubicki blaisecorrigan keiloakleyzepernick timlajcik brianburik hannahscott jessedanger d.j.ninocartel lukassharp kellysoutherland richardm.maguire rogerbrenner jeromebrooksjr. josébáez melanieehrlich scottjohnsen edwardm.kelahan woonyoungpark jamieleepetronis mariashamkalian davidc.yashin danielbenmayor action
31804,Night Watch (Nochnoy dozor) (2004), konstantinkhabenskiy vladimirmenshov valeriyzolotukhin mariyaporoshina galinatyunina yuriykutsenko alekseychadov zhannafriske ilyalagutenko viktorverzhbitskiy rimmamarkova mariyamironova alekseymaklakov aleksandrsamoylenko dmitriymartynov annaslyu annadubrovskaya sergeyprikhodko igorsavochkin georgiydronov nikolayolyalin dmitriyklokov dmitriyosetrov konstantinmurzenko anatoliygorin lyudmilayaronova aleksandrshchurok nikolaykiselev marinaivanova viktorivanov polinashchurok tatyanashchankina aleksandrkozlov igorpismennyy viktoriyasmirnova sergeykalashnikov ekaterinamalikova vladislavanufriev yuriyyakovlev ivanpopov alekseykurochkin yaroslavromashenko yurilowenthal darianweiss blestyashchie igorgasparyan yuliyakovalchuk igorlifanov olegmokshantsev aleksandranazarova alekseyneklyudov kseniyanovikova annasemenovich galinastakhanova stepanstarchikov timurbekmambetov action fantasy horror mystery sci-fi thriller
6062,Lost in La Mancha (2002), tonygrisoni philipa.patterson renécleitman terrygilliam nicolapecorini joséluisescolar bárbarapérez-solero benjamínfernández andreacalderwood raycooper gabriellapescucci carlopoggioli bernardbouix fredmillstein jeffbridges johnnydepp vanessaparadis orsonwelles bernardchaumeil joanfont pierregamet franciscoreiguera jeanrochefort keithfulton louispepe documentary
32456,"Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)", shinchôkokontei makotononomura yurikoishida noriheimiki nijikokiyokawa shigeruizumiya gannosukeashiya takehiromurata beichôkatsura bunshikatsuravi kosanyanagiya akirakamiya reisakuma tomokazuseki minoruyada yorieyamashita megumihayashibara rinmizuhara jonathantaylorthomas clancybrown j.k.simmons tressmacneille kevinmichaelrichardson johndimaggio andrestojka brianposehn wallykurth oliviad'abo briangeorge jessharnell davidolivercohen jillianbowen russitaylor marcdonato mauricelamarche newellalexander ericabeck jeffbennett reevecarney mitchcarter davidcowgill hollydorff ikeeisenmann zacgardner richardstevenhorvitz sherryhursey hopelevy markmoseley marymouser jordandelspina peterrenaday philecesampler marksilverman alysonstoner audreywasilewski adamwylie yasutakaebina akirafukuzawa yuhayashi shôzôhayashiya osamukatô yumikuroda isaotakahata animation comedy drama fantasy
5454,Mo' Money (1992), damonwayans staceydash joesantos johndiehl harrylennix marlonwayans markbeltzman quincywong kevincasey larrybrandenburg artgarfield almayvonne richarde.butler mattdoherty evanlionelsmith jamesdeuter rondireed gordonmcclure richardhamilton kenearl johnallen davidrazowsky sallirichardson-whitfield petegardner lorenzoclemons billharris gregbermont willzahrn james'ike'eichling reneea.lacour robertswan victorcole eddiebosmithjr. tedtopolski a.c.tonysmith mikebacarella jobecerny alisongordy jackiehoffman molliegrabemann berniemac mikscriba williamking irmap.hall jamesspinks kahilelzabar benlin seana.tate pat'soul'scaggs laurolópez jimmywoodard edwardcushing barrybiondo willjones andrelavelle josephquinnsimpkins petermacdonald comedy romance
118700,Selma (2014), davidoyelowo carmenejogo jimfrance trinitysimone mikeriahoward jordanrice ebonybillups nadejk.bailey elijaholiver oprahwinfrey claychappell tomwilkinson giovanniribisi havilandstillwell andréholland rubensantiago-hudson colmandomingo omarj.dorsey tessathompson common lorrainetoussaint davidm.morizot daviddwyer e.rogermitchell dylanbaker ledisi kentfaulcon stormymerriwether niecynash coreyreynolds wendellpierce johnlavelle stephanjames traibyers lakeithstanfield henryg.sanders charityjordan stanhouston timroth gregmaness nigelthatch stephenroot michaelpapajohn briankurlander jeremystrong elizabethdianewells taraochs davidsilverman charlessaunders dextertillis cubagoodingjr. alessandronivola michaelshikany brandono'dell danedavenport brandoncarroll markcabus christinehorn dantriandiflou jodythompson kennycooper montrelmiller charlesblack zipporahcarter willeanlacy dawnyoung-mcdaniel kathyalderman lontrellanderson selahavery seanbaker harrybelafonte tonybennett knoxbentley victoriablackmon qualenbradley ronanbrookes jefferyjamesbucchino judymcgeeburley christopheranthonycarr esthercason coreychampagne marcuschase ashleisharpechestnut yamaneecoleman johncollier clintcrane sammydavisjr. bennettwaynedeansr. dorisdean jeremydegree kendohse shannonedwards johnfleischmann carlosv.flores samuelleefudge fredgalle carlgraddy j.j.green jermainesalutegreen christinehameed rogera.harrison walterhendrixiii tyhill cassandrahollis donaldhorner thomashughes waynehughes charlandral.jacobs frankjennings michaeldavidjohnsonjr. king johnarcherlundgren cherimarcelle jeffmckinney stanleymclaughlinii kylemcmahon jamallrashaudmcmillan johnmerical gordonmeyer samueloden josepholiveira amahrepalmer darlapelton-perez nikiromano aliciaroye pattischellhaas sherriscottnovoa lindashane martinsheen gradysims carolannetaylor jasminetaylor miketaylor wenzellwashington markwellander rachellewicker sabrinac.williams shakeshawilliams susanwillis jessicayoshimura avaduvernay drama
61262,Mirrors (2008), kiefersutherland paulapatton cameronboyce arikagluck amysmart marybethpeil johnshrapnel jasonflemyng timahern julianglover joshcole ezrabuzzington aidadoina ioanaabur darrenkent rozmccutcheon adinarapiteanu williammeredith bartsidles caiman jingdongqin ancadamacus tudorstroescu lilianadonici aureliaradulescu georgedumitrescu irinasaulescu valeriupavel gregnicotero peterwrobell alexandreaja horror mystery thriller
3359,Breaking Away (1979), dennischristopher dennisquaid danielstern jackieearlehaley barbarabarrie pauldooley robyndouglass hartbochner amywright petermaloney johnashton lisashure jenniferk.mickel p.j.soles davidk.blase williams.armstrong howards.wilcox j.f.brière carlossintes eddyvanguyse alvine.bailey haroldelgar floyde.todd robertwoolery russelle.freeman jimmygrant gaill.horton woodyhueston jenniferf.nolan noraowens douglasrafferty billringgenberg johnw.ryan morrissalzman tomschwoegler mikesilveus greggforrest danlevinson stevemirer tomohmer barta.reed johnvandevelde peteryates comedy drama
68237,Moon (2009), samrockwell kevinspacey dominiquemcelligott rosieshaw adrienneshaw kayascodelario benedictwong mattberry malcolmstewart robinchalk gavinrothery garyshaw mickward duncanjones drama mystery sci-fi thriller
5269,"Piano Teacher, The (La pianiste) (2001)", isabellehuppert anniegirardot benoîtmagimel susannelothar udosamel annasigalevitch corneliaköndgen thomasweinhappel georgfriedrich philippheiss williammang rudolfmelichar michaelschottenberg gabrieleschuchter dieterberner volkerwaldegg martinaresetarits annemarieschleinzer karolinezeisler liliananelska luzleskowitz viktorteuflmayr vivianebartsch floriankoban thomasauner andreasdonat gertidrassl klaushändl erikakollmann-till ninakripas estherpils petrareichel arbesisufi marcuszeuner evagreen hans-christianhaas noammorgensztern lisaolah vituswieser michaelhaneke drama
90888,Immortals (2011), henrycavill mickeyrourke stephendorff freidapinto lukeevans johnhurt josephmorgan anneday-jones gregbryk alanvansprang peterstebbings danielsharman isabellucas kellanlutz stevebyers stephenmchattie matthewg.taylor romanoorzari coreysevier conradpla neilnapier tyronebenskin abdulayoola dylansmith robertnaylor mercedesleggett kaniehtiiohorn ayishaissa jasoncavalier dannyblancohall robertmaillet alainchanoine edwardyankie gagemunroe arontomori marcellobezina roclafortune jadelarocque charlieduret alishanagarsheth makaylajayde madisonmcaleer zeliamouana-bankouezi andrékasper tylerhynes carlomestroni chantalsimard brentskagford kevinkelsall patricksabongui samuelplatel lisesita francislafrenière shyrelleyates johnchurchill austinbeauchamp jimmyduperval isabellechampeau andregivogue randyherman markmargolis tamasmenyhart emiliepaquet jamesa.woods tarsemsingh action drama fantasy
7439,"Punisher, The (2004)", a.russellandrews omaravila jamescarpinello markcollie russelldurhamcomegys antonicorone rickelmhurst benfoster michaelreardon lauraharring williamhaze thomasjane eddiejemison marcost.john marcusjohns bonniejohnson veryljones carlethkeys alanlilly terryloughlin marcmacaulay samanthamathis jimmeskimen kevinnash tomnowicki robino'dell willpatton yamilpiedra johnpinette steveraulerson rebeccaromijn royscheider hankstone sonnysurowiec jackswanson joshthomas johntravolta eduardoyáñez johnbaker davidbroitman jeffchase georgiachris charleeneclosshey darladelgado michaelthomasdunn douglasembry hatcherflaschen khrisgibston maryguyer russellhess johnhill russisles jilliankinsman j.c.loader nickloren waltermedina sebastianpage gustavoperez michaela.quill angelinariposta kassiespielman jimmystar matttotty heathertrzyna mattweber jonathanhensleigh action crime thriller
7669,Pride and Prejudice (1995), drama romance
3479,Ladyhawke (1985), matthewbroderick rutgerhauer michellepfeiffer leomckern johnwood kenhutchison alfredmolina giancarloprete lorisloddi alexserra charlesborromel massimosarchielli nicolinapapetti russelcase donaldhodson gregorysnegoff gaetanorusso rodddana stefanohorowitzo paultuerpe venantinovenantini marcusberesford valerieo'brian nanàcecchi elettrabaldassarri omerocapanna giovannicianfriglia alberigodonadeo giuseppemarrocco paolomerosi jurgenmorhofer marionovelli nellopazzafini benitostefanelli richarddonner adventure fantasy romance
445,Fatal Instinct (1993), armandassante sherilynfenn katenelligan seanyoung christophermcdonald jamesremar tonyrandall clarenceclemons michaelcumpsty johnwitherspoon blakeclark edwardblanchard davidgreenlee timfrisbie michaelmacleod carlreiner laurielapinski earthakitt harveylevine christopherdarga bernardhiller lucylin janelynch caseyking jacobvargas alexzuckerman ronnieschell bunnysummers judynagy julierowen paulinelomas sulimccullough bobuecker markanthony kevinmichaelrichardson susanangelo gregorysporleder josephattanasio savannahsmithboucher stevenhouska rogere.reid barryeisen georgelopez keithcampbell docseverinsen vitomirabella billcobbs michaelmckay christophermurray rosieo'donnell clementvonfranckenstein carlreiner comedy
36535,Everything Is Illuminated (2005), eugenehutz elijahwood jonathansafranfoer janahrabetova stephensamudovsky ljubomirdezera oleksandrchoroshko gilkazimirov zuzanahodkova mikki mouse borislyoskin robertchytil jaroslavasochova sergeiryabtsev yurilemeshev pamelaracine oleksandrhoutz ludmilakartouska igorlatta eugeninmarandic oresttkachuk eliasbauer jurijkokyrc sergejkapitan jaroslavjurichkanc igorsavivskij janfilipenský bertschneider terezaveselkova laryssalauret lukáskrál verasindelarova lievschreiber comedy drama
31309,Rocco and His Brothers (Rocco e i suoi fratelli) (1960), alaindelon renatosalvatori anniegirardot katinapaxinou alessandrapanaro spyrosfokas maxcartier corradopani roccovidolazzi claudiamori adrianaasti enzofiermonte ninocastelnuovo rosarioborelli renatoterra rogerhanin paolostoppa suzydelair claudiacardinale jeromeadjer luigibasagaluppi sauveurchioca brunofortilli biagiogambini beckermasoero roccomazzola felicemusazzi eduardopassarelli emiliorinaldi ginoseretti luchinovisconti crime drama
161580,Bad Moms (2016), milakunis kathrynhahn kristenbell christinaapplegate jadapinkettsmith anniemumolo oonalaurence emjayanthony davidwalton clarkduke jayhernandez wendellpierce leahmckendrick meganferguson lylebrocato wandasykes cademansfieldcooksey j.j.watt annmahoney samanthabeaulieu yukatakara jackietuttle adriatennor kellylind lenaclark amybrassette karmencapella donnaduplantier lindseygarrett angelal.larson christinaderosa shaunarappold laragrice lizelkinsnewcomer carrielazar ninamillin yanfeldman jaylenmoore davidsimpson turnercrumbley billyslaughter meghanwolfe jayjablonski dicksonobahor lajessiesmith eugeniakuzmina marymccloud lillysingh harrybeckstead michele'shelley'ziegler xanthusvalan marthastewart colinegglesfield elvirakunis karenhahn loreleibell nancypriddy adriennebanfield-jones alicemumolo rachelacuna sarahkateallsup chrisangerdina avaalyseanthony kennedyanthony johnl.armijo charlesbarber tonybeard ericberris larrybournejr. tracybrotherton justinburkhamer judymcgeeburley gabrielbyrd queenbyrd bradycalhoun kaylacarraway roncentanni rebeccachulew michellel.clarke maggiecorbett timothycornelius karendalferes rileyewing ianellogarcino jessicagillio brandonguttuso pixiehankins juliaholt ronniehooks aliciadavisjohnson racheljohnston allysonleighjordan tiltonlipoma zachmooney miker.moreau christymoritz kellymurtagh tianicholson leesapate brittanyprice lisaraziano gusrhodes williamschaff kristenscott lisaannsmith kailaspicer jackteague tarynterrell michelletorres dallaswhite abigailwilliams christinamichellewilliams triciawood brianwoodhouse jonlucas scottmoore comedy
1974,Friday the 13th (1980), betsypalmer adrienneking jeanninetaylor robbimorgan kevinbacon harrycrosby lauriebartram marknelson peterbrouwer rexeverhart ronncarroll ronmillkie waltgorney willieadams debras.hayes dorothykobs sallyannegolden maryrocco kenl.parker arilehman noelcunningham irwinkeyes tomsavini seans.cunningham horror mystery thriller
141718,Deathgasm (2015), milocawthorne jamesjoshuablake kimberleycrossman samberkley danielcresswell delaneytabron stephenure colinmoy jodierimmer nickhoskins-smith errollshand kateelliott aaronmcgregor andrewlaing timfoley cameronrhodes campbellrousselle danveint christophernicholls michaelrewiri-thorsen ledapetit hannahtasker-poland paulahallagher osharaardelean felixsinclair ngahere mariakalpatzoglou dianacross joshgoodwin jamiemackay torimarsh fridabaigent rosaliebutton liammartin timvandammen morganalbrecht gregpage andrewbeattie novabeattie texasbeattie marilynsegran anttimpson janesherningwarren matildagrant parisblanchfield sarahnelson richardtranter kingigilbert claudianixon jasonleihowden comedy horror
5747,Gallipoli (1981), marklee billkerr haroldhopkins charleslathaluyunipingu heathharris rongraham gerdanicolson melgibson robertgrubb timmckenzie davidargue briananderson regevans jackgiddy danepeterson paullinkson jennylovell stevedodd haroldbaigent robyngalwey donquin phyllisburford marjorieirving johnmurphy billhunter dianechamberlain peterford iangovett geoffparry clivebennington gilesholland-martin moshekedem johnmorris donbarker kiwiwhite paulsonkkila peterlawless saltbushbaldock lesdayman stangreen maxwearing grahamdow peterr.house peterweir drama war
162578,Kubo and the Two Strings (2016), artparkinson charlizetheron brendavaccaro cary-hiroyukitagawa meyrickmurphy georgetakei rooneymara ralphfiennes matthewmcconaughey minaenoji alphatakahashi lauramiro kentakemoto aaronaoki lukedonaldson michaelsunlee caryy.mizobe rachelmorihiro thomasisaomorinaka saeminakamura zacharyalexanderrice marielsheets travisknight adventure animation children fantasy
